[run number],payoff-include-votes-cost?,majority-mean-utility,majority-utility-stdev,minority-mean-utility,minority-utility-stdev,minority-fraction,behavior-under-qv,calibration,variance-of-pmp,number-of-voters,voting-mechanism,marginal-pivotality,utility-pmp-correlation,limit-votes?,[step],mean payoff-sign-list,tipping-point,mean-utility
40,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.22,FALSE,1000,0.116,-0.05,0.04
41,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.21,FALSE,1000,0.147,-0.05,0.04
42,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.2,FALSE,1000,0.143,-0.05,0.04
43,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.19,FALSE,1000,0.129,-0.05,0.04
44,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.18,FALSE,1000,0.136,-0.05,0.04
45,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.17,FALSE,1000,0.136,-0.05,0.04
46,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.16,FALSE,1000,0.111,-0.05,0.04
47,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.15,FALSE,1000,0.137,-0.05,0.04
48,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.14,FALSE,1000,0.121,-0.05,0.04
49,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.13,FALSE,1000,0.118,-0.05,0.04
50,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.12,FALSE,1000,0.147,-0.05,0.04
51,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.11,FALSE,1000,0.151,-0.05,0.04
52,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.1,FALSE,1000,0.164,-0.05,0.04
53,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.09,FALSE,1000,0.211,-0.05,0.04
54,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.08,FALSE,1000,0.25,-0.05,0.04
55,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.07,FALSE,1000,0.345,-0.05,0.04
56,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.06,FALSE,1000,0.39,-0.05,0.04
57,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.05,FALSE,1000,0.488,-0.05,0.04
58,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.04,FALSE,1000,0.577,-0.05,0.04
59,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.03,FALSE,1000,0.66,-0.05,0.04
60,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.02,FALSE,1000,0.724,-0.05,0.04
61,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.01,FALSE,1000,0.791,-0.05,0.04
62,FALSE,-4,1,6.1,1,0.4,rational,manual,0.01,1001,QV,0.5,0,FALSE,1000,0.837,-0.05,0.04
63,FALSE,-4,1,6.15,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.3,FALSE,1000,0.033,-0.06,0.06
64,FALSE,-4,1,6.15,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.29,FALSE,1000,0.041,-0.06,0.06
65,FALSE,-4,1,6.15,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.28,FALSE,1000,0.048,-0.06,0.06
66,FALSE,-4,1,6.15,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.27,FALSE,1000,0.027,-0.06,0.06
67,FALSE,-4,1,6.15,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.26,FALSE,1000,0.033,-0.06,0.06
