[run number],number-of-voters,majority-utility-stdev,majority-mean-utility,payoff-include-votes-cost?,behavior-under-qv,calibration,poll-response-rate,variance-of-pmp,r,voting-mechanism,limit-votes?,minority-fraction,[step],mean payoff-sign-list
56,1001,1,4,FALSE,rational,manual,1,0.01,0.65,1p1v,FALSE,0,100,1
57,1001,1,4,FALSE,rational,manual,1,0.01,0.7,1p1v,FALSE,0,100,1
59,1001,1,4,FALSE,rational,manual,1,0.01,0.8,1p1v,FALSE,0,100,1
58,1001,1,4,FALSE,rational,manual,1,0.01,0.75,1p1v,FALSE,0,100,1
60,1001,1,4,FALSE,rational,manual,1,0.01,0.85,1p1v,FALSE,0,100,1
61,1001,1,4,FALSE,rational,manual,1,0.01,0.9,1p1v,FALSE,0,100,1
62,1001,1,4,FALSE,rational,manual,1,0.01,0.95,1p1v,FALSE,0,100,1
63,1001,1,4,FALSE,rational,manual,1,0.01,1,1p1v,FALSE,0,100,1
64,1001,3,0,FALSE,rational,manual,1,0.01,0,1p1v,FALSE,0,100,0.82
65,1001,3,0,FALSE,rational,manual,1,0.01,0.05,1p1v,FALSE,0,100,0.73
67,1001,3,0,FALSE,rational,manual,1,0.01,0.15,1p1v,FALSE,0,100,0.78
66,1001,3,0,FALSE,rational,manual,1,0.01,0.1,1p1v,FALSE,0,100,0.87
68,1001,3,0,FALSE,rational,manual,1,0.01,0.2,1p1v,FALSE,0,100,0.89
69,1001,3,0,FALSE,rational,manual,1,0.01,0.25,1p1v,FALSE,0,100,0.79
70,1001,3,0,FALSE,rational,manual,1,0.01,0.3,1p1v,FALSE,0,100,0.78
71,1001,3,0,FALSE,rational,manual,1,0.01,0.35,1p1v,FALSE,0,100,0.81
72,1001,3,0,FALSE,rational,manual,1,0.01,0.4,1p1v,FALSE,0,100,0.86
73,1001,3,0,FALSE,rational,manual,1,0.01,0.45,1p1v,FALSE,0,100,0.77
74,1001,3,0,FALSE,rational,manual,1,0.01,0.5,1p1v,FALSE,0,100,0.76
75,1001,3,0,FALSE,rational,manual,1,0.01,0.55,1p1v,FALSE,0,100,0.84
76,1001,3,0,FALSE,rational,manual,1,0.01,0.6,1p1v,FALSE,0,100,0.82
77,1001,3,0,FALSE,rational,manual,1,0.01,0.65,1p1v,FALSE,0,100,0.85
78,1001,3,0,FALSE,rational,manual,1,0.01,0.7,1p1v,FALSE,0,100,0.83
79,1001,3,0,FALSE,rational,manual,1,0.01,0.75,1p1v,FALSE,0,100,0.8
81,1001,3,0,FALSE,rational,manual,1,0.01,0.85,1p1v,FALSE,0,100,0.77
82,1001,3,0,FALSE,rational,manual,1,0.01,0.9,1p1v,FALSE,0,100,0.84
80,1001,3,0,FALSE,rational,manual,1,0.01,0.8,1p1v,FALSE,0,100,0.75
83,1001,3,0,FALSE,rational,manual,1,0.01,0.95,1p1v,FALSE,0,100,0.87
