[run number],payoff-include-votes-cost?,majority-mean-utility,majority-utility-stdev,minority-mean-utility,minority-utility-stdev,minority-fraction,behavior-under-qv,calibration,variance-of-pmp,number-of-voters,voting-mechanism,marginal-pivotality,utility-pmp-correlation,limit-votes?,[step],mean payoff-sign-list,tipping-point,mean-utility
61,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.11,FALSE,1000,0.791,-0.14,0.16
62,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.1,FALSE,1000,0.846,-0.14,0.16
63,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.09,FALSE,1000,0.902,-0.14,0.16
64,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.08,FALSE,1000,0.942,-0.14,0.16
65,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.07,FALSE,1000,0.96,-0.14,0.16
66,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.06,FALSE,1000,0.971,-0.14,0.16
67,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.05,FALSE,1000,0.99,-0.14,0.16
68,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.04,FALSE,1000,0.993,-0.14,0.16
69,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.03,FALSE,1000,0.998,-0.14,0.16
70,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.02,FALSE,1000,0.998,-0.14,0.16
71,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.01,FALSE,1000,1,-0.14,0.16
72,FALSE,-4,1,6.4,1,0.4,rational,manual,0.01,1001,QV,0.5,0,FALSE,1000,1,-0.14,0.16
73,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.35,FALSE,1000,0,-0.16,0.2
74,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.34,FALSE,1000,0,-0.16,0.2
75,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.33,FALSE,1000,0,-0.16,0.2
76,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.32,FALSE,1000,0,-0.16,0.2
77,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.31,FALSE,1000,0,-0.16,0.2
78,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.3,FALSE,1000,0,-0.16,0.2
79,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.29,FALSE,1000,0,-0.16,0.2
80,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.28,FALSE,1000,0,-0.16,0.2
81,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.27,FALSE,1000,0,-0.16,0.2
82,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.26,FALSE,1000,0,-0.16,0.2
83,FALSE,-4,1,6.5,1,0.4,rational,manual,0.01,1001,QV,0.5,-0.25,FALSE,1000,0,-0.16,0.2
