[run number],number-of-voters,majority-utility-stdev,majority-mean-utility,payoff-include-votes-cost?,behavior-under-qv,calibration,poll-response-rate,variance-of-pmp,r,voting-mechanism,limit-votes?,minority-fraction,[step],mean payoff-sign-list
49,1001,1,4,FALSE,rational,manual,1,0.01,0.3,QV,FALSE,0,1000,1
50,1001,1,4,FALSE,rational,manual,1,0.01,0.35,QV,FALSE,0,1000,1
52,1001,1,4,FALSE,rational,manual,1,0.01,0.45,QV,FALSE,0,1000,1
53,1001,1,4,FALSE,rational,manual,1,0.01,0.5,QV,FALSE,0,1000,1
51,1001,1,4,FALSE,rational,manual,1,0.01,0.4,QV,FALSE,0,1000,1
54,1001,1,4,FALSE,rational,manual,1,0.01,0.55,QV,FALSE,0,1000,1
55,1001,1,4,FALSE,rational,manual,1,0.01,0.6,QV,FALSE,0,1000,1
56,1001,1,4,FALSE,rational,manual,1,0.01,0.65,QV,FALSE,0,1000,1
57,1001,1,4,FALSE,rational,manual,1,0.01,0.7,QV,FALSE,0,1000,1
58,1001,1,4,FALSE,rational,manual,1,0.01,0.75,QV,FALSE,0,1000,1
59,1001,1,4,FALSE,rational,manual,1,0.01,0.8,QV,FALSE,0,1000,1
60,1001,1,4,FALSE,rational,manual,1,0.01,0.85,QV,FALSE,0,1000,1
61,1001,1,4,FALSE,rational,manual,1,0.01,0.9,QV,FALSE,0,1000,1
62,1001,1,4,FALSE,rational,manual,1,0.01,0.95,QV,FALSE,0,1000,1
63,1001,1,4,FALSE,rational,manual,1,0.01,1,QV,FALSE,0,1000,1
65,1001,3,0,FALSE,rational,manual,1,0.01,0.05,QV,FALSE,0,1000,0.926
66,1001,3,0,FALSE,rational,manual,1,0.01,0.1,QV,FALSE,0,1000,0.945
64,1001,3,0,FALSE,rational,manual,1,0.01,0,QV,FALSE,0,1000,0.936
67,1001,3,0,FALSE,rational,manual,1,0.01,0.15,QV,FALSE,0,1000,0.943
68,1001,3,0,FALSE,rational,manual,1,0.01,0.2,QV,FALSE,0,1000,0.945
69,1001,3,0,FALSE,rational,manual,1,0.01,0.25,QV,FALSE,0,1000,0.953
70,1001,3,0,FALSE,rational,manual,1,0.01,0.3,QV,FALSE,0,1000,0.961
71,1001,3,0,FALSE,rational,manual,1,0.01,0.35,QV,FALSE,0,1000,0.966
72,1001,3,0,FALSE,rational,manual,1,0.01,0.4,QV,FALSE,0,1000,0.962
73,1001,3,0,FALSE,rational,manual,1,0.01,0.45,QV,FALSE,0,1000,0.976
75,1001,3,0,FALSE,rational,manual,1,0.01,0.55,QV,FALSE,0,1000,0.961
74,1001,3,0,FALSE,rational,manual,1,0.01,0.5,QV,FALSE,0,1000,0.963
76,1001,3,0,FALSE,rational,manual,1,0.01,0.6,QV,FALSE,0,1000,0.971
77,1001,3,0,FALSE,rational,manual,1,0.01,0.65,QV,FALSE,0,1000,0.964
78,1001,3,0,FALSE,rational,manual,1,0.01,0.7,QV,FALSE,0,1000,0.965
79,1001,3,0,FALSE,rational,manual,1,0.01,0.75,QV,FALSE,0,1000,0.965
80,1001,3,0,FALSE,rational,manual,1,0.01,0.8,QV,FALSE,0,1000,0.971
81,1001,3,0,FALSE,rational,manual,1,0.01,0.85,QV,FALSE,0,1000,0.976
82,1001,3,0,FALSE,rational,manual,1,0.01,0.9,QV,FALSE,0,1000,0.974
84,1001,3,0,FALSE,rational,manual,1,0.01,1,QV,FALSE,0,1000,0.966
85,1001,3,1,FALSE,rational,manual,1,0.01,0,QV,FALSE,0,1000,1
83,1001,3,0,FALSE,rational,manual,1,0.01,0.95,QV,FALSE,0,1000,0.963
86,1001,3,1,FALSE,rational,manual,1,0.01,0.05,QV,FALSE,0,1000,1
87,1001,3,1,FALSE,rational,manual,1,0.01,0.1,QV,FALSE,0,1000,1
88,1001,3,1,FALSE,rational,manual,1,0.01,0.15,QV,FALSE,0,1000,1
89,1001,3,1,FALSE,rational,manual,1,0.01,0.2,QV,FALSE,0,1000,1
90,1001,3,1,FALSE,rational,manual,1,0.01,0.25,QV,FALSE,0,1000,1
92,1001,3,1,FALSE,rational,manual,1,0.01,0.35,QV,FALSE,0,1000,1
91,1001,3,1,FALSE,rational,manual,1,0.01,0.3,QV,FALSE,0,1000,1
94,1001,3,1,FALSE,rational,manual,1,0.01,0.45,QV,FALSE,0,1000,1
95,1001,3,1,FALSE,rational,manual,1,0.01,0.5,QV,FALSE,0,1000,1
93,1001,3,1,FALSE,rational,manual,1,0.01,0.4,QV,FALSE,0,1000,1
96,1001,3,1,FALSE,rational,manual,1,0.01,0.55,QV,FALSE,0,1000,1
97,1001,3,1,FALSE,rational,manual,1,0.01,0.6,QV,FALSE,0,1000,1
98,1001,3,1,FALSE,rational,manual,1,0.01,0.65,QV,FALSE,0,1000,1
99,1001,3,1,FALSE,rational,manual,1,0.01,0.7,QV,FALSE,0,1000,1
100,1001,3,1,FALSE,rational,manual,1,0.01,0.75,QV,FALSE,0,1000,1
101,1001,3,1,FALSE,rational,manual,1,0.01,0.8,QV,FALSE,0,1000,1
102,1001,3,1,FALSE,rational,manual,1,0.01,0.85,QV,FALSE,0,1000,1
103,1001,3,1,FALSE,rational,manual,1,0.01,0.9,QV,FALSE,0,1000,1
104,1001,3,1,FALSE,rational,manual,1,0.01,0.95,QV,FALSE,0,1000,1
105,1001,3,1,FALSE,rational,manual,1,0.01,1,QV,FALSE,0,1000,1
106,1001,3,4,FALSE,rational,manual,1,0.01,0,QV,FALSE,0,1000,1
107,1001,3,4,FALSE,rational,manual,1,0.01,0.05,QV,FALSE,0,1000,1
108,1001,3,4,FALSE,rational,manual,1,0.01,0.1,QV,FALSE,0,1000,1
109,1001,3,4,FALSE,rational,manual,1,0.01,0.15,QV,FALSE,0,1000,1
110,1001,3,4,FALSE,rational,manual,1,0.01,0.2,QV,FALSE,0,1000,1
111,1001,3,4,FALSE,rational,manual,1,0.01,0.25,QV,FALSE,0,1000,1
112,1001,3,4,FALSE,rational,manual,1,0.01,0.3,QV,FALSE,0,1000,1
113,1001,3,4,FALSE,rational,manual,1,0.01,0.35,QV,FALSE,0,1000,1
114,1001,3,4,FALSE,rational,manual,1,0.01,0.4,QV,FALSE,0,1000,1
