u,v
-0.001294997,-0.002864162
-0.046048026,-0.242967819
0.014233629,0.070306905
0.022296188,0.075936451
-0.077360919,-0.279290261
0.074331288,0.190038117
-0.057150044,-0.143699318
-0.059164988,-0.230648925
-0.05894287,-0.171447176
-0.035252889,-0.144332903
-0.029477569,-0.074007128
0.084183668,0.262077932
-0.012870079,-0.061681163
-0.057168344,-0.315172928
0.059273772,0.196927574
0.047290518,0.15867642
0.043559938,0.125700738
-0.001916219,-0.007058441
0.028744483,0.153691517
-0.050649092,-0.154763139
0.069505205,0.237958636
0.037894411,0.177576684
-0.05162373,-0.172747952
0.051894697,0.133240855
0.008792044,0.022924907
0.030621141,0.075347967
-0.001272437,-0.005142723
0.065253905,0.185299513
-0.033112667,-0.088948214
-0.043625983,-0.137412972
-0.03630927,-0.098820845
0.034957982,0.140278565
-0.022345547,-0.057777259
0.107628849,0.456528946
0.056239249,0.418946129
-0.008556089,-0.023211473
0.049492298,0.162865129
0.027928516,0.17080914
-0.056539701,-0.244507128
0.027387212,0.095642133
-0.053003241,-0.241686503
0.076226411,0.262602075
-0.081866765,-0.376220074
-0.021276584,-0.072902974
-0.051629828,-0.163607321
0.072140945,0.257242089
0.02733514,0.119598805
0.13660196,0.374257494
-0.065883186,-0.157620643
-0.028634485,-0.089159882
-0.046157118,-0.186464794
-0.062938634,-0.157571863
0.051724476,0.171514666
-0.032764791,-0.10270498
0.050000149,0.221264789
0.101468648,0.456075567
-0.023223207,-0.08879206
0.05000245,0.147792802
-0.04766096,-0.177965429
-0.059645024,-0.153560119
-0.015734843,-0.046280613
0.050147562,0.18047827
0.072902124,0.209337526
0.036312191,0.222282169
-0.063507301,-0.16081821
-0.02464768,-0.120636399
-0.080222911,-0.426826669
0.044821761,0.184495536
-0.025852508,-0.071062563
-0.089907893,-0.221933714
-0.072425678,-0.223921439
-0.059374944,-0.239780433
-0.08401245,-0.311085359
0.083546712,0.250310922
0.037308708,0.107622545
0.079061287,0.338259415
-0.057735024,-0.186732887
-0.094680733,-0.302207243
0.063050423,0.221644198
-0.035078756,-0.146485073
0.03486119,0.123054961
0.065366463,0.19299722
0.597739074,0.870982532
0.093445421,0.284496255
0.122923364,0.37997746
0.102521761,0.327859946
0.043593851,0.123617808
0.018643093,0.058453607
-0.073813789,-0.323484857
-0.076510913,-0.258138135
-0.064105962,-0.370255155
0.018563913,0.071395195
-0.064417849,-0.468210181
0.100904031,0.413428223
-0.05713507,-0.211463647
0.004026686,0.017765096
-0.078985095,-0.205148643
0.005792442,0.029947854
-0.032908509,-0.149683595
-0.033624719,-0.101545289
-0.056482592,-0.212765063
-0.002616594,-0.008577
-0.008504102,-0.022429764
-0.049295845,-0.17571656
-0.051703387,-0.16195044
-0.082474306,-0.260262911
0.085208255,0.432839541
-0.032216105,-0.089999655
0.120855647,0.419334629
0.956484115,0.937686974
0.031377365,0.084042754
0.062279215,0.18235806
-0.049396599,-0.163850696
-0.072250167,-0.292846981
-0.055807836,-0.132323807
-0.08722516,-0.202356141
0.065974655,0.280126701
-0.0581847,-0.215453633
0.038621131,0.192323222
-0.018061236,-0.078907638
-0.061549426,-0.203490331
0.063858645,0.234907042
0.03400087,0.105301288
0.013387962,0.04642092
0.765535408,0.895370508
-0.004845172,-0.026183166
0.012495554,0.03493241
-0.057142681,-0.266770681
-0.042146444,-0.092381238
-0.049293929,-0.280408384
-0.089112729,-0.465094231
0.024577171,0.075562672
0.054943356,0.295899381
-0.022826363,-0.091340004
0.05885463,0.154840988
-0.071513666,-0.223636743
0.059492008,0.113749276
-0.034628005,-0.138778258
0.492312079,0.831005001
-0.031714676,-0.13659738
-0.047125912,-0.206537113
-0.030619034,-0.100527771
