[run number],number-of-voters,minority-fraction,majority-mean-utility,majority-utility-stdev,minority-mean-utility,minority-utility-stdev,calibration,marginal-pivotality,variance-of-perceived-pivotality,mpp-divided,limit-votes?,payoff-include-votes-cost?,voting-mechanism,[step],mean payoff-sign-list,mean payoff-list,standard-deviation payoff-list,mean vote-sum-list,standard-deviation vote-sum-list,mean mean-median-same-sign-list
32,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.03,1,FALSE,FALSE,QV,1000,0.906,2.549196455,3.313871523,0.678125564,2.131955398,0.765
35,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.03,100,FALSE,FALSE,1p1v,1000,0.811,1.821681751,4.247985767,-0.31,3.324297061,0.811
34,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.03,10,FALSE,FALSE,QV,1000,0.904,2.593717112,3.46137495,0.068784475,0.220692634,0.795
37,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.04,1,FALSE,FALSE,1p1v,1000,0.765,1.572185263,4.11244074,-0.458,3.376631108,0.765
36,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.03,100,FALSE,FALSE,QV,1000,0.917,2.459671832,3.411847623,0.005612568,0.021255046,0.763
39,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.04,10,FALSE,FALSE,1p1v,1000,0.771,1.642691861,3.794267562,-0.456,3.296502833,0.771
38,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.04,1,FALSE,FALSE,QV,1000,0.898,2.614136225,3.652499895,0.698952447,2.374697372,0.759
40,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.04,10,FALSE,FALSE,QV,1000,0.9,2.625923154,3.515987115,0.067538696,0.238119571,0.774
41,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.04,100,FALSE,FALSE,1p1v,1000,0.796,1.680292078,4.20864265,-0.374,3.347735254,0.796
43,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.05,1,FALSE,FALSE,1p1v,1000,0.787,1.592992878,3.517519513,-0.55,3.239134451,0.787
42,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.04,100,FALSE,FALSE,QV,1000,0.888,2.54721414,3.522286711,0.005583573,0.022111074,0.782
45,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.05,10,FALSE,FALSE,1p1v,1000,0.782,1.618680871,4.245019819,-0.35,3.34435116,0.782
44,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.05,1,FALSE,FALSE,QV,1000,0.872,2.165693065,3.098581581,0.458204236,2.04234982,0.772
47,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.05,100,FALSE,FALSE,1p1v,1000,0.743,1.297002762,3.825432949,-0.586,3.227851146,0.743
46,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.05,10,FALSE,FALSE,QV,1000,0.88,2.435028875,3.470542421,0.061104751,0.212153189,0.792
49,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.06,1,FALSE,FALSE,1p1v,1000,0.79,1.562318762,3.854779673,-0.41,3.363809628,0.79
48,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.05,100,FALSE,FALSE,QV,1000,0.893,2.491161988,3.532139923,0.005881808,0.022416176,0.802
50,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.06,1,FALSE,FALSE,QV,1000,0.858,2.222041819,3.053832322,0.537815451,2.002709945,0.758
51,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.06,10,FALSE,FALSE,1p1v,1000,0.763,1.692649103,3.859961977,-0.306,3.371309794,0.763
52,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.06,10,FALSE,FALSE,QV,1000,0.873,2.243410429,3.175064042,0.049476947,0.199241534,0.803
53,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.06,100,FALSE,FALSE,1p1v,1000,0.776,1.582124315,3.917267283,-0.392,3.273079444,0.776
55,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.07,1,FALSE,FALSE,1p1v,1000,0.791,1.783823256,3.828551181,-0.352,3.322519396,0.791
54,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.06,100,FALSE,FALSE,QV,1000,0.854,2.469222659,3.960982552,0.006917415,0.025659021,0.776
57,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.07,10,FALSE,FALSE,1p1v,1000,0.771,1.48206481,4.05113562,-0.494,3.409338292,0.771
56,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.07,1,FALSE,FALSE,QV,1000,0.853,2.423366838,3.770902054,0.638679049,2.345890736,0.771
59,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.07,100,FALSE,FALSE,1p1v,1000,0.775,1.307215168,3.985369607,-0.518,3.405770878,0.775
58,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.07,10,FALSE,FALSE,QV,1000,0.863,2.486772281,3.669042199,0.059708573,0.229068024,0.791
61,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.08,1,FALSE,FALSE,1p1v,1000,0.782,1.786224363,4.189940756,-0.484,3.375372148,0.782
60,11,0,0,1,10,1,1. prop8-mean>0,0.5,0.07,100,FALSE,FALSE,QV,1000,0.888,2.615058871,3.857085072,0.007687219,0.025540329,0.781
