u,v
4.282427302,2.141213651
-2.162754613,-1.081377307
-1.613978291,-0.806989145
-0.75914305,-0.379571525
-0.617093756,-0.308546878
0.331461184,0.165730592
-3.091777713,-1.545888856
2.548935121,1.274467561
-1.582026395,-0.791013198
-3.079364676,-1.539682338
4.5932137,2.29660685
0.900710616,0.450355308
-1.400019555,-0.700009777
-2.750780348,-1.375390174
-2.979091761,-1.48954588
-2.645180602,-1.322590301
1.582182744,0.791091372
1.752656818,0.876328409
-1.816785734,-0.908392867
-2.347173771,-1.173586885
-2.575035333,-1.287517666
0.914555131,0.457277566
-3.528384417,-1.764192208
-5.773358076,-2.886679038
4.35314757,2.176573785
-1.914826567,-0.957413283
-2.009889083,-1.004944542
-4.887600374,-2.443800187
-0.073156336,-0.036578168
-1.063124413,-0.531562207
-2.659151593,-1.329575797
-2.252001886,-1.126000943
4.672972279,2.336486139
1.53756248,0.76878124
-2.743514787,-1.371757393
-2.085787574,-1.042893787
-0.897121603,-0.448560802
-2.588408643,-1.294204321
-0.043540631,-0.021770316
1.476689144,0.738344572
-1.972931537,-0.986465768
1.650618572,0.825309286
1.459826773,0.729913387
-3.037824135,-1.518912068
2.654525903,1.327262951
1.446611766,0.723305883
-0.954530173,-0.477265087
-0.068608337,-0.034304168
0.734377573,0.367188786
-0.081460272,-0.040730136
-3.041907031,-1.520953516
0.249255294,0.124627647
3.874565862,1.937282931
-0.007566925,-0.003783462
4.761997633,2.380998816
-1.439999138,-0.719999569
4.876902595,2.438451298
3.828108073,1.914054037
6.853835929,3.426917964
-1.644770776,-0.822385388
-1.819610511,-0.909805255
3.921951207,1.960975604
-3.696344829,-1.848172415
1.832783482,0.916391741
-0.649696408,-0.324848204
-4.145506233,-2.072753117
2.479410736,1.239705368
-4.124855054,-2.062427527
-1.092014354,-0.546007177
-2.612373997,-1.306186999
-1.598406918,-0.799203459
0.019167937,0.009583969
0.686800105,0.343400052
-6.034491279,-3.01724564
-2.6255242,-1.3127621
-0.604220846,-0.302110423
0.901781685,0.450890842
0.991613083,0.495806541
-0.782258838,-0.391129419
0.739464575,0.369732288
-0.314323426,-0.157161713
6.194982689,3.097491344
0.771608968,0.385804484
-0.400008583,-0.200004292
-1.291337201,-0.6456686
3.888685582,1.944342791
-0.453531446,-0.226765723
-6.270127392,-3.135063696
0.527251676,0.263625838
-4.822924715,-2.411462358
-1.872966359,-0.936483179
-0.102196732,-0.051098366
-3.059843291,-1.529921645
-1.908990199,-0.954495099
