u,v
4.177039025,1.581895004
5.319925494,1.883283541
0.188902364,0.115835446
-0.281626263,-0.192367355
2.053229376,0.284618008
-5.202003612,-3.53127222
-0.043540631,-0.027851354
4.081143731,2.080905082
1.476689144,0.940559838
-0.898681147,-0.822546692
-1.654642756,-0.711269398
-5.147094797,-4.224981274
-4.291960717,-0.977674541
-0.31406846,-0.187799209
-1.31573169,-0.45479647
3.461040319,2.19696795
-1.366313827,-0.782387249
2.801375888,2.332906017
0.583373847,0.297244426
-1.172744072,-0.881304332
1.588056114,0.619171785
-1.248189502,-1.033004897
-2.544511533,-2.355778369
0.490127088,0.437051833
-2.242159816,-1.453402293
2.623204419,1.366168115
1.827096825,0.640714704
-0.103299682,-0.027548386
-1.714147944,-1.518808177
-2.682480428,-0.699523755
-3.555648803,-1.188342137
-2.768722201,-1.050199026
2.767661429,2.194845025
4.096177309,0.741800276
-0.955066718,-0.632814854
-0.660668267,-0.073182906
0.340199793,0.223934848
-2.708970113,-1.35879446
1.982312862,1.106756979
-0.604220846,-0.482116867
1.873472244,0.825696832
-2.207593036,-0.762015372
3.435973629,2.676778909
0.69018053,0.367381383
0.019167937,0.015408319
-2.11084698,-1.024146656
1.15115983,0.292240618
-2.789594399,-0.766222521
-0.595941845,-0.390003745
-3.486577585,-1.383150168
-3.050111085,-1.833742007
-1.200383601,-0.059092392
3.354127207,1.048221435
1.916375422,1.656471286
3.106634083,2.857592394
-0.787855473,-0.589907622
0.630261402,0.546250533
2.064004689,2.0289745
3.935827073,2.350043851
-2.62883992,-0.763256935
-2.789966216,-0.570306639
2.493904983,0.378707232
2.262509348,1.17228131
-0.189459242,-0.104297779
0.326325301,0.280530467
2.453823545,0.327936292
1.977573174,1.067684639
-2.180336305,-1.45027742
-0.97589305,-0.804756501
-0.353964955,-0.180224543
1.568280566,1.181589135
3.310082969,1.410634137
0.439639882,0.073647816
-4.21535576,-2.173874454
6.005873276,2.527267446
-0.795439901,-0.486106757
0.790431955,0.41367165
2.073297747,0.297136961
-0.065285267,-0.032065239
-0.507623375,-0.338882256
-1.190927035,-0.310049868
-0.133654809,-0.05961788
0.078139273,0.021291439
1.670864319,0.482776243
-6.070729875,-4.481903442
1.293384163,0.277297317
2.257530401,1.122027739
-1.15835218,-1.146989181
-3.374661792,-1.907020775
3.731238562,1.164951884
5.733942728,5.264273451
3.617749099,1.201053888
-3.044783944,-1.7836417
2.21316996,0.732623899
0.193752886,0.134434288
1.468569394,0.972024365
-3.044409684,-1.207193632
-4.670480004,-3.516539648
2.567951029,1.70517335
-4.713687764,-2.764614133
-5.773358076,-2.188310514
-4.716229083,-1.740948057
3.155837856,1.41381449
7.103387761,2.24215699
1.874640263,1.075817272
-0.329199545,-0.22695294
-3.764318807,-2.054589498
-1.170924448,-0.640406334
0.431094906,0.100909778
-0.130821282,-0.092135302
-5.784732018,-2.539669868
-2.028958236,-0.552798062
2.958812508,2.343429004
-3.844154001,-0.331401142
-2.659151593,-2.318548187
-3.674057122,-1.797547537
-0.207132947,-0.197175787
-1.830790551,-0.521367308
1.244070208,0.739154633
-0.167053942,-0.054391534
-1.740648858,-0.055361136
1.784628574,1.4127032
7.59408406,3.134274312
-1.794597082,-1.088829551
1.266519528,0.231139314
-0.296169065,-0.28148599
-4.942376213,-1.331836659
-3.240473842,-2.973357308
-1.956445673,-1.751966645
-1.799290589,-0.999974436
-0.829506888,-0.143601677
0.242980268,0.154306283
1.770178292,0.406598225
-1.684084641,-1.072281552
-1.982339621,-0.702840368
-1.241549685,-0.603484847
-1.925956712,-0.47967816
1.251186717,0.153957258
-1.431240413,-0.697047578
4.822591698,3.553891874
-2.499413842,-0.682599952
2.778807313,0.556297368
1.225357884,0.643486916
4.582314612,3.870051066
0.965715463,0.237327492
7.474734401,4.848844521
-0.26972041,-0.131405482
-2.511954622,-1.793261816
1.940518674,1.328994792
